id,nome,email,cpf,telefone,dt_criacao,is_deleted
1,Maria Luiza Ribeiro,lara16@example.com,046.289.315-42,5501178702122,2022-02-07 13:36:05.337174,False
2,Gustavo Henrique da Costa,ana-clara31@example.org,345.106.928-89,5503148673219,1998-04-23 12:14:37.636466,True
3,Dr. Antônio Lopes,claraoliveira@example.net,748.035.926-83,5503190822989,2023-11-04 02:47:55.933338,True
4,Manuela Moreira,pintoluna@example.net,083.729.541-60,7106511979,2005-08-17 15:26:08.212128,False
5,Bárbara Oliveira,ana-vitoriamoraes@example.com,840.657.129-20,5508486425911,1989-03-26 07:47:56.540398,True
6,João Gabriel Pereira,caue05@example.net,086.159.247-67,5505156582203,2014-11-02 04:40:45.368785,True
7,Marcela Dias,enzo-gabriel05@example.net,028.765.419-20,5501120461666,1996-12-18 02:12:24.620700,False
8,Paulo Teixeira,isabelly80@example.org,149.637.802-40,08143237452,1986-06-12 01:43:58.352990,True
9,Diego Vieira,rebeca84@example.net,261.579.083-86,5104326538,1970-10-09 21:03:24.495092,False
10,Joaquim Campos,renanramos@example.com,730.128.465-90,08461813594,2006-04-13 00:01:52.524713,True
11,Felipe Cunha,joana15@example.org,540.726.139-16,02146004649,1979-06-03 01:09:07.672968,False
12,Augusto Martins,maysabarros@example.com,126.498.530-42,05143244922,2001-08-26 21:24:32.884480,True
13,Maria da Conceição,hcunha@example.net,065.214.379-25,3130032456,2023-03-15 21:58:18.372940,False
14,Maitê Nunes,zramos@example.com,941.238.506-42,03139574870,1992-04-02 09:39:41.826385,False
15,Diego Duarte,rodrigo50@example.org,378.621.950-86,6197831537,2002-05-08 23:06:32.932057,False
16,Felipe Barros,qferreira@example.net,239.084.756-00,5503108620239,1992-02-28 21:54:33.539375,False
17,Benício Santos,heloisa76@example.com,971.803.256-86,08170337101,2020-06-03 11:00:21.732742,False
18,Dra. Ana Julia Farias,elisa65@example.net,296.074.835-29,08442832778,2002-10-14 22:12:18.468144,True
